entry	working_name	status	ghidra_name	source
00412950	func_00412950	unidentified	FUN_00412950	src/functions/29/00412950_func_00412950.asm
00412C40	func_00412c40	unidentified	FUN_00412c40	src/functions/2c/00412c40_func_00412c40.asm
00412CA0	func_00412ca0	unidentified	FUN_00412ca0	src/functions/2c/00412ca0_func_00412ca0.asm
00412CD0	func_00412cd0	unidentified	FUN_00412cd0	src/functions/2c/00412cd0_func_00412cd0.asm
00412D40	func_00412d40	unidentified	FUN_00412d40	src/functions/2d/00412d40_func_00412d40.asm
00412DC0	func_00412dc0	unidentified	__aulldiv	src/functions/2d/00412dc0_func_00412dc0.asm
00412E30	func_00412e30	unidentified	__aullrem	src/functions/2e/00412e30_func_00412e30.asm
00412F70	func_00412f70	unidentified	FUN_00412f70	src/functions/2f/00412f70_func_00412f70.asm
004133C0	func_004133c0	unidentified	FUN_004133c0	src/functions/33/004133c0_func_004133c0.asm
00413740	func_00413740	unidentified	FUN_00413740	src/functions/37/00413740_func_00413740.asm
